candidate_id,simulation_id,orientation_deg,glazing_area_m2,wall_insulation_m,roof_insulation_m,night_shutter,roof_emissivity,wall_material,capital_cost_inr,minimum_indoor_temperature_C,average_indoor_temperature_C,comfort_hours,total_heat_loss_kWh,discomfort_hours,safety_status,is_pareto_optimal
CAND_01601,SIM_OPT_01601,150.0,12.0,0.075,0.2,1,0.52,stone_masonry,340587.0,-6.71,2.35,0.0,54.9,24.0,SAFE,False
CAND_01602,SIM_OPT_01602,210.0,6.0,0.075,0.1,1,0.44,pu_sandwich_panel,270323.0,-9.61,-4.14,0.0,38.78,24.0,SAFE,False
CAND_01603,SIM_OPT_01603,195.0,6.0,0.05,0.075,0,0.64,stone_masonry,223636.0,-16.25,-8.57,0.0,79.28,24.0,SAFE,False
CAND_01604,SIM_OPT_01604,195.0,10.0,0.075,0.1,1,0.41,pu_sandwich_panel,353695.0,-8.23,-0.37,0.0,60.21,24.0,SAFE,False
CAND_01605,SIM_OPT_01605,106.8,12.0,0.1,0.2,1,0.89,pu_sandwich_panel,390773.0,-12.67,-4.07,0.0,54.51,24.0,SAFE,False
CAND_01606,SIM_OPT_01606,11.2,6.0,0.05,0.05,0,0.45,stone_masonry,186048.0,-20.03,-12.36,0.0,77.5,24.0,SAFE,False
CAND_01607,SIM_OPT_01607,210.0,6.0,0.075,0.075,1,0.31,pu_sandwich_panel,230193.0,-13.15,-7.69,0.0,78.4,24.0,SAFE,False
CAND_01608,SIM_OPT_01608,195.0,2.0,0.0,0.0,0,0.57,mud_brick,114642.0,-21.5,-15.3,0.0,254.11,24.0,SAFE,False
CAND_01609,SIM_OPT_01609,195.0,6.0,0.075,0.1,0,0.27,dense_concrete,239782.0,-15.42,-8.21,0.0,75.89,24.0,SAFE,False
CAND_01610,SIM_OPT_01610,195.0,4.5,0.075,0.1,0,0.49,stone_masonry,202789.0,-15.99,-9.68,0.0,64.76,24.0,SAFE,False
CAND_01611,SIM_OPT_01611,180.0,0.0,0.0,0.025,0,0.4,mud_brick,109427.0,-21.5,-15.5,0.0,214.05,24.0,SAFE,False
CAND_01612,SIM_OPT_01612,195.0,0.0,0.025,0.025,0,0.47,mud_brick,119497.0,-20.88,-15.19,0.0,97.13,24.0,SAFE,False
CAND_01613,SIM_OPT_01613,210.0,4.5,0.075,0.075,0,0.57,dense_concrete,236492.0,-16.2,-9.88,0.0,61.1,24.0,SAFE,False
CAND_01614,SIM_OPT_01614,210.0,2.0,0.0,0.0,1,0.62,rammed_earth,127804.0,-18.0,-13.55,0.0,259.6,24.0,SAFE,False
CAND_01615,SIM_OPT_01615,150.0,6.0,0.075,0.05,1,0.27,stone_masonry,212844.0,-12.43,-6.96,0.0,64.81,24.0,SAFE,False
CAND_01616,SIM_OPT_01616,180.0,0.0,0.0,0.0,0,0.85,stone_masonry,123642.0,-21.5,-15.5,0.0,250.19,24.0,SAFE,False
CAND_01617,SIM_OPT_01617,195.0,0.0,0.025,0.0,0,0.62,mud_brick,132297.0,-20.88,-15.19,0.0,132.47,24.0,SAFE,False
CAND_01618,SIM_OPT_01618,150.0,4.5,0.025,0.05,1,0.79,dense_concrete,212082.0,-16.0,-10.52,0.0,109.09,24.0,SAFE,False
CAND_01619,SIM_OPT_01619,165.0,3.0,0.025,0.075,0,0.68,dense_concrete,231388.0,-19.34,-13.0,0.0,87.83,24.0,SAFE,False
CAND_01620,SIM_OPT_01620,150.0,0.0,0.0,0.025,0,0.5,rammed_earth,127669.0,-21.5,-15.5,0.0,208.15,24.0,SAFE,False
CAND_01621,SIM_OPT_01621,150.0,0.0,0.0,0.025,0,0.6,stone_masonry,114331.0,-21.5,-15.5,0.0,190.04,24.0,SAFE,False
CAND_01622,SIM_OPT_01622,195.0,0.0,0.025,0.025,0,0.84,mud_brick,116330.0,-20.88,-15.19,0.0,77.0,24.0,SAFE,False
CAND_01623,SIM_OPT_01623,195.0,8.0,0.15,0.15,1,0.63,pu_sandwich_panel,339065.0,-1.77,3.5,0.0,31.17,24.0,SAFE,False
CAND_01624,SIM_OPT_01624,165.0,6.0,0.075,0.075,0,0.42,stone_masonry,212878.0,-15.3,-8.09,0.0,74.04,24.0,SAFE,False
CAND_01625,SIM_OPT_01625,307.9,6.0,0.075,0.05,1,0.59,pu_sandwich_panel,250392.0,-15.8,-10.34,0.0,57.0,24.0,SAFE,False
CAND_01626,SIM_OPT_01626,150.0,2.0,0.0,0.0,1,0.78,rammed_earth,133903.0,-18.0,-13.55,0.0,268.61,24.0,SAFE,False
CAND_01627,SIM_OPT_01627,150.0,12.0,0.075,0.1,1,0.55,stone_masonry,342005.0,-7.62,1.44,0.0,60.41,24.0,SAFE,False
CAND_01628,SIM_OPT_01628,165.0,12.0,0.15,0.15,1,0.5,pu_sandwich_panel,403312.0,-5.04,2.64,0.0,62.49,24.0,SAFE,False
CAND_01629,SIM_OPT_01629,150.0,3.0,0.025,0.075,1,0.31,pu_sandwich_panel,235388.0,-15.67,-11.08,0.0,61.64,24.0,REFUSED,False
